"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-08-31","USD","727297000","510523000","368041000","359256000","-18639000","-22908000","255637000","None","-24549000","None","99794000","907000","-9390000","None","16066000","-1641000","608000","-15458000","None","-19312000","None","-1641000","-19013000","None","-22908000","-22908000","None"
"2020-05-31","USD","693641000","422898000","366739000","326902000","72221000","-113033000","279584000","None","-108014000","None","115521100","4812000","-95996000","None","16830000","5019000","1058000","-15772000","None","-21287000","None","5019000","-17533000","None","-113033000","-113033000","None"
"2020-02-29","USD","717671000","2781359000","412927000","304744000","1011063000","1772673000","1881393000","None","988407000","None","807568000","1125558000","-114495000","None","22656000","5019000","1058000","-15772000","None","92398000","None","-784266000","-17533000","None","1772673000","1772673000","None"
"2019-11-30","USD","662470000","401576000","322403000","340067000","73540000","1772673000","279389000","None","988407000","None","119893000","1781000","-96237000","None","22656000","-784266000","1379000","-21277000","None","-14802000","None","1532000","1105921000","None","1772673000","1772673000","None"
"2019-08-31","USD","656568000","396930000","305866000","350702000","75560000","-82501000","267781000","None","-80969000","None","74890000","-1120000","-46707000","None","21241000","1532000","1092000","-20149000","None","-16586000","None","1532000","-14113000","None","-82501000","-82501000","None"
"2019-05-31","USD","662452000","382554000","301024000","361428000","104064000","-57331000","266354000","None","-67879000","None","81305000","1152000","-29642000","None","20531000","-10548000","1077000","-19454000","None","-5682000","None","7273000","-18783000","None","-57331000","-48450000","None"
"2019-01-31","USD","744799000","362270000","422797000","322002000","68920000","-260698000","256102000","0","-69348000","0","88368000","None","-53008000","0","21953000","191350000","None","None","0","0","0","191350000","-8363000","0","-260698000","-260698000","None"
"2018-08-31","USD","665300000","385400000","288200000","377100000","45539000","6759000","216285000","0","-23212000","0","96100000","874000","-8291000","0","15795000","None","None","None","0","35415000","0","-29971000","-101469000","0","6759000","6759000","None"
"2018-05-31","USD","604600000","250700000","228900000","375700000","157100000","128612000","176734000","0","132375000","0","57000000","7296000","125079000","0","-244000","None","None","None","0","1567000","0","3763000","5729000","0","128612000","128612000","None"
"2018-02-28","USD","744799000","375010000","422797000","322002000","68920000","128612000","180000000","0","132375000","0","88368000","7296000","125191000","0","292000","None","None","None","0","1567000","0","3763000","-74626000","47345000","128612000","128612000","None"
"2017-08-31","USD","604800000","240800000","239600000","365200000","182980000","200188000","165477000","0","156096000","0","56000000","6200000","149896000","0","262000","None","None","None","0","3284000","0","6759000","-988000","39488000","149337000","200188000","None"
"2017-05-31","USD","572700000","244100000","227200000","345500000","133651000","165259000","180871000","0","131551000","0","55200000","7188000","124363000","0","80000","None","None","None","0","4285000","0","-3899000","3855000","-8795000","135450000","165259000","None"
"2017-02-28","USD","615400000","314200000","241900000","373500000","85700000","106621000","193027000","0","102221000","0","68300000","3333000","98888000","0","51000","None","None","None","0","1505000","0","5251000","3333000","9651000","96970000","106621000","None"
"2016-11-30","USD","496026000","292723000","196646000","299380000","10437000","-80091000","139586000","0","10437000","0","53122000","3780000","6657000","1155000","71000","None","None","None","0","98860000","0","67685000","-85165000","-43113000","-57248000","-80091000","None"
"2016-08-31","USD","654422000","285406000","286063000","368359000","88423000","72616000","222463000","0","88423000","0","59480000","5470000","82953000","2299000","82000","None","None","None","0","1164000","0","15807000","-5610000","-16557000","72616000","72616000","None"
"2016-05-31","USD","626404000","299290000","287608000","338796000","45790000","51305000","228891000","0","45790000","0","67217000","6284000","39506000","2461000","97000","None","None","None","0","721000","0","-5515000","3308000","9000000","51305000","51305000","None"
"2016-02-29","USD","540822000","310734000","259210000","281612000","-27634000","-22679000","240458000","0","-27634000","0","63374000","1488000","-29122000","2461000","118000","None","None","None","0","4441000","0","-4955000","1488000","-3000000","-22679000","-22679000","None"
"2015-11-30","USD","616158000","311278000","302610000","313548000","3354000","4200000","236000000","0","3354000","0","67835000","1084000","2270000","2462000","139000","None","None","None","0","4981000","0","-846000","-806479000","-72959000","4200000","4200000","None"
"2015-08-31","USD","674890000","354710000","379254000","295636000","-54430000","-57750000","252502000","0","-54430000","0","63788000","4644000","-59074000","3150000","192000","None","None","None","0","35270000","0","3320000","-3769000","0","-57750000","-57750000","None"
"2015-05-31","USD","724288000","359883000","351153000","373135000","18419000","14090000","280114000","0","18419000","0","77201000","5167000","13252000","2568000","220000","None","None","None","0","0","0","4329000","5167000","0","14090000","14090000","None"
"2015-01-31","USD","857452000","360483000","390182000","440321000","84220000","81693000","285429000","0","84220000","0","71886000","4382000","86077000","3100000","218000","None","None","None","0","10438000","0","2527000","9510000","-48441000","81693000","81693000","None"
